source_file,source_category_file,original_row_number,product_name,category,subcategory,product_type,target_area,volume_value,volume_unit,skin_type,hair_type,concern_tags,effect_tags,active_ingredients,ingredients_text,ingredients_list,ingredients_count,has_full_ingredients,potential_allergens_or_irritants,usage,properties,precautions,contraindications,storage_conditions,clean_description,raw_description,data_quality,recommendation_text,ml_features_text,source_url,main_image,is_promo,dedupe_key,source_variant_count,duplicate_source_urls,id
hair_all.json,волосы,4,Шампунь для волос от выпадения с тимохиноном 200 мл,волосы,очищение,шампунь,волосы | кожа головы,200.0,мл,,,возрастные изменения | выпадение волос,антивозрастной уход | антиоксидантная защита | восстановление | очищение | питание | укрепление,бетаин | капсаицин | лимонная кислота | пантенол | прополис | тимохинон | черного тмина | экстракт корня лопуха | экстракт прополиса | экстракт черного тмина | экстракт шалфея,"вода очищенная, кокамид ДЭА, кокоглюкозид, натрия лаурет саркозинат, динатрий лауретсульфосукцинат, кокамидопропилбетаин, полисорбат-80, пантенол, бензоат натрия, парфюмерная композиция, экстракт черного тмина с тимохиноном, бетаин, лимонная кислота, экстракт шалфея мускатного, экстракт корня лопуха, экстракт чабера, экстракт прополиса, трилон Б, капсаицин, бикарбонат натрия",вода очищенная | кокамид ДЭА | кокоглюкозид | натрия лаурет саркозинат | динатрий лауретсульфосукцинат | кокамидопропилбетаин | полисорбат-80 | пантенол | бензоат натрия | парфюмерная композиция | экстракт черного тмина с тимохиноном | бетаин | лимонная кислота | экстракт шалфея мускатного | экстракт корня лопуха | экстракт чабера | экстракт прополиса | трилон Б | капсаицин | бикарбонат натрия,20,True,капсаицин | парфюмерная композиция | прополис | экстракт прополиса,"небольшое количество шампуня равномерно распределите по всей длине волос, уделяя особое внимание корням и коже головы, легкими массажными движениями вспеньте шампунь, оставьте пену на волосах примерно на 2–3 минуты, тщательно смойте шампунь большим количеством воды, применяйте шампунь регулярно, желательно 2–3 раза в неделю, продолжайте использование до полного исчезновения симптомов перхоти и раздражения кожи головы",,"избегать попадания в глаза, при попадании в глаза, немедленно промыть водой, не используйте продукт при наличии открытых ран, воспалений или раздражений на коже головы",индивидуальная непереносимость компонентов,"плотно закрытым при температуре от +5°С до +25°С, избегать попадания прямых солнечных лучей","Обретите роскошь густых и здоровых волос с нашим эксклюзивным шампунем, богатым ценнейшими компонентами природы! Уникальная формула сочетает активные природные ингредиенты: насыщенные лекарственные травы, богатые витаминами и микроэлементами, способствуют укреплению корней волос и стимулируют рост новых крепких волосков. Тайна нашей уникальной рецептуры заключается в мощном антиоксиданте тимохиноне, который активно борется с причинами выпадения волос, замедляет процессы старения клеток кожи головы и восстанавливает баланс необходимых питательных веществ. Благодаря бережному уходу и глубокому восстановлению структуры волос, наш шампунь обеспечивает идеальные условия для роста красивых, сильных и здоровых локонов.","Обретите роскошь густых и здоровых волос с нашим эксклюзивным шампунем, богатым ценнейшими компонентами природы! Уникальная формула сочетает активные природные ингредиенты: насыщенные лекарственные травы, богатые витаминами и микроэлементами, способствуют укреплению корней волос и стимулируют рост новых крепких волосков. Тайна нашей уникальной рецептуры заключается в мощном антиоксиданте тимохиноне, который активно борется с причинами выпадения волос, замедляет процессы старения клеток кожи головы и восстанавливает баланс необходимых питательных веществ. Благодаря бережному уходу и глубокому восстановлению структуры волос, наш шампунь обеспечивает идеальные условия для роста красивых, сильных и здоровых локонов.Состав: вода очищенная, кокамид ДЭА, кокоглюкозид, натрия лаурет саркозинат, динатрий лауретсульфосукцинат, кокамидопропилбетаин, полисорбат-80, пантенол, бензоат натрия, парфюмерная композиция, экстракт черного тмина с тимохиноном, бетаин, лимонная кислота, экстракт шалфея мускатного, экстракт корня лопуха, экстракт чабера, экстракт прополиса, трилон Б, капсаицин, бикарбонат натрия.Способ применения: небольшое количество шампуня равномерно распределите по всей длине волос, уделяя особое внимание корням и коже головы, легкими массажными движениями вспеньте шампунь, оставьте пену на волосах примерно на 2–3 минуты, тщательно смойте шампунь большим количеством воды, применяйте шампунь регулярно, желательно 2–3 раза в неделю, продолжайте использование до полного исчезновения симптомов перхоти и раздражения кожи головы.Меры предосторожности: избегать попадания в глаза, при попадании в глаза, немедленно промыть водой, не используйте продукт при наличии открытых ран, воспалений или раздражений на коже головы.Противопоказания: индивидуальная непереносимость компонентовУсловия хранения: плотно закрытым при температуре от +5°С до +25°С, избегать попадания прямых солнечных лучей.",good,"проблемы: возрастные изменения, выпадение волос; эффекты: антивозрастной уход, антиоксидантная защита, восстановление, очищение, питание, укрепление; тип кожи: зрелая",Шампунь для волос от выпадения с тимохиноном 200 мл | волосы | очищение | шампунь | кожа головы | возрастные изменения | выпадение волос | антивозрастной уход | антиоксидантная защита | восстановление | питание | укрепление | бетаин | капсаицин | лимонная кислота | пантенол | прополис | тимохинон | черного тмина | экстракт корня лопуха | экстракт прополиса | экстракт черного тмина | экстракт шалфея,https://socrimea.ru/catalog/volosy/ochishchenie/shampun_dlya_volos_ot_vypadeniya_s_timokhinonom_200_ml_markirovka/,https://socrimea.ru/upload/iblock/12d/3vyu0bk36bytlculjm0idgiv7pof1cdg.jpg,False,шампунь_шампунь_для_волос_от_выпадения_с_тимохиноном_200_мл_200мл,3,https://socrimea.ru/catalog/volosy/ochishchenie/aktsiya_shampun_dlya_volos_ot_vypadeniya_s_timokhinonom_200_ml/ | https://socrimea.ru/catalog/volosy/ochishchenie/aktsiya_shampun_dlya_volos_ot_vypadeniya_s_timokhinonom_200_ml_markirovka/,SOC_0001
hair_all.json,волосы,2,Шампунь для волос при дерматите и псориазе с тимохиноном 200 мл,волосы,очищение,шампунь,волосы | кожа головы,200.0,мл,проблемная,,воспаления | дерматит | зуд | повреждение | потеря упругости | псориаз,антибактериальный эффект | восстановление | объем | очищение | противовоспалительный эффект | смягчение | увлажнение | успокаивающий эффект | эксфолиация,бетаин | бисаболол | глицерин | карбамид | лимонная кислота | масло лаванды | мочевина | пантенол | прополис | салициловая кислота | тимохинон | цинк pca | черного тмина | экстракт бархатцев | экстракт мирта | экстракт монарды | экстракт прополиса | экстракт розмарина | экстракт черного тмина | эфирное масло лаванды,"вода очищенная, натрия лауретсульфат, кокамид ДЭА, кокамидопропилбетаин, мочевина (карбамид), метилсульфонилметан, полисорбат-80, кокоглюкозид, салициловая кислота, хлорид натрия, пантенол, бикарбонат натрия, бензоат натрия, глицерин, бетаин, цинк PCA, экстракт черного тмина с тимохиноном, эфирное масло лаванды, трилон Б, бисаболол, экстракт мирта, экстракт прополиса, экстракт розмарина, экстракт монарды лимонной, лимонная кислота, экстракт виноградной косточки, экстракт бархатцев",вода очищенная | натрия лауретсульфат | кокамид ДЭА | кокамидопропилбетаин | мочевина (карбамид) | метилсульфонилметан | полисорбат-80 | кокоглюкозид | салициловая кислота | хлорид натрия | пантенол | бикарбонат натрия | бензоат натрия | глицерин | бетаин | цинк PCA | экстракт черного тмина с тимохиноном | эфирное масло лаванды | трилон Б | бисаболол | экстракт мирта | экстракт прополиса | экстракт розмарина | экстракт монарды лимонной | лимонная кислота | экстракт виноградной косточки | экстракт бархатцев,27,True,натрия лауретсульфат | прополис | салициловая кислота | экстракт прополиса | эфирное масло лаванды,"небольшое количество шампуня равномерно распределите по всей длине волос, уделяя особое внимание корням и коже головы, легкими массажными движениями вспеньте шампунь, оставьте пену на волосах примерно на 2–3 минуты, тщательно смойте шампунь большим количеством воды, применяйте шампунь регулярно, желательно 2–3 раза в неделю, продолжайте использование до полного исчезновения симптомов перхоти и раздражения кожи головы",,"избегать попадания в глаза, при попадании в глаза, немедленно промыть водой, не используйте продукт при наличии открытых ран, воспалений или раздражений на коже головы",индивидуальная непереносимость компонентов,"плотно закрытым при температуре от +5°С до +25°С, избегать попадания прямых солнечных лучей","Наш уникальный шампунь разработан специально для деликатного ухода за кожей головы, страдающей от псориаза и дерматита. Основу состава составляют исключительно натуральные экстракты лечебных трав. Эти драгоценные растения обладают противовоспалительными, регенерирующими и увлажняющими свойствами, помогая облегчить симптомы заболеваний и вернуть комфорт. Особый ингредиент нашего шампуня — тимохинон, известный своими сильными антисептическими и заживляющими качествами. Он способствует быстрому снятию воспаления, уменьшению зуда и покраснения, ускорению процесса восстановления поврежденных участков кожи. Ваш ежедневный ритуал очищения превратится в приятный уход, дарящий чувство легкости и свежести. Волосы приобретут естественный объем, здоровье и эластичность, ваша кожа головы почувствует долгожданное облегчение.","Наш уникальный шампунь разработан специально для деликатного ухода за кожей головы, страдающей от псориаза и дерматита. Основу состава составляют исключительно натуральные экстракты лечебных трав. Эти драгоценные растения обладают противовоспалительными, регенерирующими и увлажняющими свойствами, помогая облегчить симптомы заболеваний и вернуть комфорт. Особый ингредиент нашего шампуня — тимохинон, известный своими сильными антисептическими и заживляющими качествами. Он способствует быстрому снятию воспаления, уменьшению зуда и покраснения, ускорению процесса восстановления поврежденных участков кожи. Ваш ежедневный ритуал очищения превратится в приятный уход, дарящий чувство легкости и свежести. Волосы приобретут естественный объем, здоровье и эластичность, ваша кожа головы почувствует долгожданное облегчение.Состав: вода очищенная, натрия лауретсульфат, кокамид ДЭА, кокамидопропилбетаин, мочевина (карбамид), метилсульфонилметан, полисорбат-80, кокоглюкозид, салициловая кислота, хлорид натрия, пантенол, бикарбонат натрия, бензоат натрия, глицерин, бетаин, цинк PCA, экстракт черного тмина с тимохиноном, эфирное масло лаванды, трилон Б, бисаболол, экстракт мирта, экстракт прополиса, экстракт розмарина, экстракт монарды лимонной, лимонная кислота, экстракт виноградной косточки, экстракт бархатцев.Способ применения: небольшое количество шампуня равномерно распределите по всей длине волос, уделяя особое внимание корням и коже головы, легкими массажными движениями вспеньте шампунь, оставьте пену на волосах примерно на 2–3 минуты, тщательно смойте шампунь большим количеством воды, применяйте шампунь регулярно, желательно 2–3 раза в неделю, продолжайте использование до полного исчезновения симптомов перхоти и раздражения кожи головы.Меры предосторожности: избегать попадания в глаза, при попадании в глаза, немедленно промыть водой, не используйте продукт при наличии открытых ран, воспалений или раздражений на коже головы.Противопоказания: индивидуальная непереносимость компонентовУсловия хранения: плотно закрытым при температуре от +5°С до +25°С, избегать попадания прямых солнечных лучей.",good,"проблемы: воспаления, дерматит, зуд, повреждение, потеря упругости, псориаз; эффекты: антибактериальный эффект, восстановление, объем, очищение, противовоспалительный эффект, смягчение, увлажнение, успокаивающий эффект, эксфолиация; тип волос: поврежденные",Шампунь для волос при дерматите и псориазе с тимохиноном 200 мл | волосы | очищение | шампунь | кожа головы | проблемная | воспаления | дерматит | зуд | повреждение | потеря упругости | псориаз | антибактериальный эффект | восстановление | объем | противовоспалительный эффект | смягчение | увлажнение | успокаивающий эффект | эксфолиация | бетаин | бисаболол | глицерин | карбамид | лимонная кислота | масло лаванды | мочевина | пантенол | прополис | салициловая кислота | тимохинон | цинк pca | черного тмина | экстракт бархатцев | экстракт мирта | экстракт монарды | экстракт прополиса | экстракт розмарина | экстракт черного тмина | эфирное масло лаванды,https://socrimea.ru/catalog/volosy/shampun_dlya_volos_pri_dermatite_i_psoriaze_s_timokhinonom_200_ml_markirovka/,https://socrimea.ru/upload/iblock/946/bj9kv5vttflaygrw1bbhcagxucmk3vtv.jpg,False,шампунь_шампунь_для_волос_при_дерматите_и_псориазе_с_тимохиноном_200_мл_200мл,3,https://socrimea.ru/catalog/volosy/ochishchenie/aktsiya_shampun_dlya_volos_pri_dermatite_i_psoriaze_s_timokhinonom_200_ml_markirovka/ | https://socrimea.ru/catalog/volosy/ochishchenie/aktsiya_shampun_dlya_volos_pri_dermatite_i_psoriaze_s_timokhinonom_200_ml/,SOC_0002
hair_all.json,волосы,1,Шампунь для волос при перхоти с тимохиноном 200 мл,волосы,очищение,шампунь,волосы | кожа головы,200.0,мл,проблемная,,зуд | перхоть | шелушение,антибактериальный эффект | антиоксидантная защита | блеск | восстановление | очищение | смягчение | укрепление | эксфолиация,бетаин | глицерин | карбамид | лимонная кислота | мочевина | пантенол | прополис | салициловая кислота | тимохинон | черного тмина | экстракт корня лопуха | экстракт мирта | экстракт монарды | экстракт прополиса | экстракт розмарина | экстракт черного тмина,"вода очищенная, натрия лауретсульфат, метилсульфонилметан, кокамид ДЭА, кокамидопропилбетаин, салициловая кислота, полисорбат-80, кокоглюкозид, мочевина (карбамид), хлорид натрия, бикарбонат натрия, пантенол, бензоат натрия, парфюмерная композиция, глицерин, бетаин, экстракт черного тмина с тимохиноном, трилон Б, экстракт мирта, экстракт прополиса, экстракт розмарина, экстракт монарды лимонной, лимонная кислота, экстракт виноградной косточки, экстракт корня лопуха",вода очищенная | натрия лауретсульфат | метилсульфонилметан | кокамид ДЭА | кокамидопропилбетаин | салициловая кислота | полисорбат-80 | кокоглюкозид | мочевина (карбамид) | хлорид натрия | бикарбонат натрия | пантенол | бензоат натрия | парфюмерная композиция | глицерин | бетаин | экстракт черного тмина с тимохиноном | трилон Б | экстракт мирта | экстракт прополиса | экстракт розмарина | экстракт монарды лимонной | лимонная кислота | экстракт виноградной косточки | экстракт корня лопуха,25,True,натрия лауретсульфат | парфюмерная композиция | прополис | салициловая кислота | экстракт прополиса,"небольшое количество шампуня равномерно распределите по всей длине волос, уделяя особое внимание корням и коже головы, легкими массажными движениями вспеньте шампунь, оставьте пену на волосах примерно на 2–3 минуты, тщательно смойте шампунь большим количеством воды, применяйте шампунь регулярно, желательно 2–3 раза в неделю, продолжайте использование до полного исчезновения симптомов перхоти и раздражения кожи головы",,"избегать попадания в глаза, при попадании в глаза, немедленно промыть водой, не используйте продукт при наличии открытых ран, воспалений или раздражений на коже головы",индивидуальная непереносимость компонентов,"плотно закрытым при температуре от +5°С до +25°С, избегать попадания прямых солнечных лучей","Откройте мир естественной красоты и здоровья ваших волос вместе с нашим уникальным шампунем, обогащённым целебными силами природы! Натуральный состав включает ценные экстракты лекарственных растений, которые глубоко очищают и восстанавливают структуру волос. Особенность формулы — мощный антиоксидант тимохинон, обладающий выраженным противогрибковым действием, эффективно устраняющий перхоть и предотвращающий её повторное появление. Шампунь мягко заботится о коже головы, уменьшает зуд и шелушение, укрепляет корни и улучшает общее состояние волос, придавая им блеск и жизненную силу. При регулярном применении ваши волосы обретут невероятную мягкость, гладкость и объём, радуя вас здоровьем и сияющим видом каждый день!","Откройте мир естественной красоты и здоровья ваших волос вместе с нашим уникальным шампунем, обогащённым целебными силами природы! Натуральный состав включает ценные экстракты лекарственных растений, которые глубоко очищают и восстанавливают структуру волос. Особенность формулы — мощный антиоксидант тимохинон, обладающий выраженным противогрибковым действием, эффективно устраняющий перхоть и предотвращающий её повторное появление. Шампунь мягко заботится о коже головы, уменьшает зуд и шелушение, укрепляет корни и улучшает общее состояние волос, придавая им блеск и жизненную силу. При регулярном применении ваши волосы обретут невероятную мягкость, гладкость и объём, радуя вас здоровьем и сияющим видом каждый день!Состав: вода очищенная, натрия лауретсульфат, метилсульфонилметан, кокамид ДЭА, кокамидопропилбетаин, салициловая кислота, полисорбат-80, кокоглюкозид, мочевина (карбамид), хлорид натрия, бикарбонат натрия, пантенол, бензоат натрия, парфюмерная композиция, глицерин, бетаин, экстракт черного тмина с тимохиноном, трилон Б, экстракт мирта, экстракт прополиса, экстракт розмарина, экстракт монарды лимонной, лимонная кислота, экстракт виноградной косточки, экстракт корня лопуха.Способ применения: небольшое количество шампуня равномерно распределите по всей длине волос, уделяя особое внимание корням и коже головы, легкими массажными движениями вспеньте шампунь, оставьте пену на волосах примерно на 2–3 минуты, тщательно смойте шампунь большим количеством воды, применяйте шампунь регулярно, желательно 2–3 раза в неделю, продолжайте использование до полного исчезновения симптомов перхоти и раздражения кожи головы.Меры предосторожности: избегать попадания в глаза, при попадании в глаза, немедленно промыть водой, не используйте продукт при наличии открытых ран, воспалений или раздражений на коже головы.Противопоказания: индивидуальная непереносимость компонентовУсловия хранения: плотно закрытым при температуре от +5°С до +25°С, избегать попадания прямых солнечных лучей.",good,"проблемы: зуд, перхоть, шелушение; эффекты: антибактериальный эффект, антиоксидантная защита, блеск, восстановление, очищение, смягчение, укрепление, эксфолиация",Шампунь для волос при перхоти с тимохиноном 200 мл | волосы | очищение | шампунь | кожа головы | проблемная | зуд | перхоть | шелушение | антибактериальный эффект | антиоксидантная защита | блеск | восстановление | смягчение | укрепление | эксфолиация | бетаин | глицерин | карбамид | лимонная кислота | мочевина | пантенол | прополис | салициловая кислота | тимохинон | черного тмина | экстракт корня лопуха | экстракт мирта | экстракт монарды | экстракт прополиса | экстракт розмарина | экстракт черного тмина,https://socrimea.ru/catalog/volosy/shampun_dlya_volos_pri_perkhoti_s_timokhinonom_200_ml_markirovka/,https://socrimea.ru/upload/iblock/b35/h5omy9j8ykudmcxkdcrw9241nxizcktx.jpg,False,шампунь_шампунь_для_волос_при_перхоти_с_тимохиноном_200_мл_200мл,3,https://socrimea.ru/catalog/volosy/ochishchenie/aktsiya_shampun_dlya_volos_pri_perkhoti_s_timokhinonom_200_ml_markirovka/ | https://socrimea.ru/catalog/volosy/ochishchenie/aktsiya_shampun_dlya_volos_pri_perkhoti_s_timokhinonom_200_ml/,SOC_0003
hair_all.json,волосы,25,Шампунь для жирных и лишенных объема волос с маслом Розмарина с тимохиноном 100 мл,волосы,очищение,шампунь,волосы,100.0,мл,,жирные | лишенные объема,жирность,объем | себорегуляция,,,,0,False,,,,,,,,,poor,"проблемы: жирность; эффекты: объем, себорегуляция; тип кожи: жирная; тип волос: жирные, лишенные объема",Шампунь для жирных и лишенных объема волос с маслом Розмарина с тимохиноном 100 мл | волосы | очищение | шампунь | жирные | лишенные объема | жирность | объем | себорегуляция,https://socrimea.ru/catalog/volosy/shampun_dlya_zhirnykh_i_lishennykh_obema_volos_s_maslom_rozmarina_s_timokhinonom_100_ml_markirovka/,https://socrimea.ru/local/templates/main/assets/images/nophoto.jpg,False,шампунь_шампунь_для_жирных_и_лишенных_объема_волос_с_маслом_розмарина_с_тимохиноном_100_мл_100мл,1,,SOC_0004
hair_all.json,волосы,27,Шампунь для поврежденных волос с маслом Розы с тимохиноном 100 мл,волосы,очищение,шампунь,волосы,100.0,мл,,поврежденные,повреждение,,,,,0,False,,,,,,,,,poor,проблемы: повреждение; тип волос: поврежденные,Шампунь для поврежденных волос с маслом Розы с тимохиноном 100 мл | волосы | очищение | шампунь | поврежденные | повреждение,https://socrimea.ru/catalog/volosy/ochishchenie/shampun_dlya_povrezhdennykh_volos_s_maslom_rozy_s_timokhinonom_100_ml_markirovka/,https://socrimea.ru/local/templates/main/assets/images/nophoto.jpg,False,шампунь_шампунь_для_поврежденных_волос_с_маслом_розы_с_тимохиноном_100_мл_100мл,1,,SOC_0005
hair_all.json,волосы,18,Шампунь для поврежденных волос с маслом Розы с тимохиноном 350 мл,волосы,очищение,шампунь,волосы | кожа головы,350.0,мл,,поврежденные,повреждение | сухость,блеск | восстановление | очищение | смягчение | увлажнение,,,,0,False,,,,,индивидуальная непереносимость компонентов,,"Шампунь для поврежденных волос с маслом Розы 350 млБережно очищает волосы и кожу головы, глубоко проникает в структуру волос, восстанавливая их по всей длине. Шампунь особенно полезен для сухих и поврежденных волос, хорошо увлажняет, смягчает, не спутывает волосы при мытье, облегчает расчесывание и придает им ухоженный вид и сияющий блеск.","Шампунь для поврежденных волос с маслом Розы 350 млБережно очищает волосы и кожу головы, глубоко проникает в структуру волос, восстанавливая их по всей длине. Шампунь особенно полезен для сухих и поврежденных волос, хорошо увлажняет, смягчает, не спутывает волосы при мытье, облегчает расчесывание и придает им ухоженный вид и сияющий блеск.",partial,"проблемы: повреждение, сухость; эффекты: блеск, восстановление, очищение, смягчение, увлажнение; тип кожи: сухая; тип волос: поврежденные, сухие",Шампунь для поврежденных волос с маслом Розы с тимохиноном 350 мл | волосы | очищение | шампунь | кожа головы | поврежденные | повреждение | сухость | блеск | восстановление | смягчение | увлажнение,https://socrimea.ru/catalog/volosy/shampun_dlya_povrezhdennykh_volos_s_maslom_rozy_s_timokhinonom_350_ml_markirovka/,https://socrimea.ru/upload/iblock/977/fdtl2ztdusgv22l4ybd8oqu1r89zu2r5.png,False,шампунь_шампунь_для_поврежденных_волос_с_маслом_розы_с_тимохиноном_350_мл_350мл,1,,SOC_0006
hair_all.json,волосы,24,Шампунь для сухих и тонких волос с маслом Лаванды с тимохиноном 100 мл,волосы,очищение,шампунь,волосы,100.0,мл,,сухие | тонкие,сухость,,,,,0,False,,,,,,,,,poor,"проблемы: сухость; тип кожи: сухая; тип волос: сухие, тонкие",Шампунь для сухих и тонких волос с маслом Лаванды с тимохиноном 100 мл | волосы | очищение | шампунь | сухие | тонкие | сухость,https://socrimea.ru/catalog/volosy/ochishchenie/shampun_dlya_sukhikh_i_tonkikh_volos_s_maslom_lavandy_s_timokhinonom_100_ml_markirovka/,https://socrimea.ru/local/templates/main/assets/images/nophoto.jpg,False,шампунь_шампунь_для_сухих_и_тонких_волос_с_маслом_лаванды_с_тимохиноном_100_мл_100мл,1,,SOC_0007
hair_all.json,волосы,7,Шампунь ежедневный уход для всех типов волос с маслом Глицинии с тимохиноном 100 мл,волосы,очищение,шампунь,волосы,100.0,мл,,все типы волос,,,,,,0,False,,,,,,,,,poor,тип волос: все типы волос,Шампунь ежедневный уход для всех типов волос с маслом Глицинии с тимохиноном 100 мл | волосы | очищение | шампунь | все типы волос,https://socrimea.ru/catalog/volosy/shampun_ezhednevnyy_ukhod_dlya_vsekh_tipov_volos_s_maslom_glitsinii_s_timokhinonom_100_ml_markirovka/,https://socrimea.ru/local/templates/main/assets/images/nophoto.jpg,False,шампунь_шампунь_ежедневный_уход_для_всех_типов_волос_с_маслом_глицинии_с_тимохиноном_100_мл_100мл,1,,SOC_0008
hair_all.json,волосы,11,Шампунь ежедневный уход для всех типов волос с маслом Глицинии с тимохиноном 350 мл,волосы,очищение,шампунь,волосы | кожа головы,350.0,мл,чувствительная,все типы волос,чувствительность,антибактериальный эффект | очищение | смягчение | успокаивающий эффект,масло глицинии,,,0,False,,,,,индивидуальная непереносимость компонентов,,"Шампунь ежедневный уход для всех типов волос с маслом Глицинии 350 млБережно очищает и смягчает волосы и кожу головы, сохраняя ощущение свежести на весь день. Масло глицинии содержит много фитонцидов, обладающие бактерицидными и успокаивающими свойствами. Шампунь подходит дл всех типов волос и чувствительной кожи головы.","Шампунь ежедневный уход для всех типов волос с маслом Глицинии 350 млБережно очищает и смягчает волосы и кожу головы, сохраняя ощущение свежести на весь день. Масло глицинии содержит много фитонцидов, обладающие бактерицидными и успокаивающими свойствами. Шампунь подходит дл всех типов волос и чувствительной кожи головы.",partial,"проблемы: чувствительность; эффекты: антибактериальный эффект, очищение, смягчение, успокаивающий эффект; тип кожи: чувствительная; тип волос: все типы волос",Шампунь ежедневный уход для всех типов волос с маслом Глицинии с тимохиноном 350 мл | волосы | очищение | шампунь | кожа головы | чувствительная | все типы волос | чувствительность | антибактериальный эффект | смягчение | успокаивающий эффект | масло глицинии,https://socrimea.ru/catalog/volosy/ochishchenie/shampun_ezhednevnyy_ukhod_dlya_vsekh_tipov_volos_s_maslom_glitsinii_s_timokhinonom_350_ml_markirovka/,https://socrimea.ru/upload/iblock/490/yyyvm5wseyjpkt7p43ktqzvw2y6fs5ri.png,False,шампунь_шампунь_ежедневный_уход_для_всех_типов_волос_с_маслом_глицинии_с_тимохиноном_350_мл_350мл,1,,SOC_0009
hair_all.json,волосы,26,Шампунь против перхоти с маслом Шалфея с тимохиноном 100 мл,волосы,очищение,шампунь,волосы | кожа головы,100.0,мл,проблемная,,перхоть,,,,,0,False,,,,,,,,,poor,проблемы: перхоть,Шампунь против перхоти с маслом Шалфея с тимохиноном 100 мл | волосы | очищение | шампунь | кожа головы | проблемная | перхоть,https://socrimea.ru/catalog/volosy/shampun_protiv_perkhoti_s_maslom_shalfeya_s_timokhinonom_100_ml_markirovka/,https://socrimea.ru/local/templates/main/assets/images/nophoto.jpg,False,шампунь_шампунь_против_перхоти_с_маслом_шалфея_с_тимохиноном_100_мл_100мл,1,,SOC_0010
